Topic,English,Spanish,IPA
16 Ocio y pasatiempos,weekend,fin de semana,/ˌwiːkˈend/
16 Ocio y pasatiempos,club,club,/klʌb/
16 Ocio y pasatiempos,internet,internet,/ˈɪntərnet/
16 Ocio y pasatiempos,video,video,/ˈvɪdioʊ/
16 Ocio y pasatiempos,radio,radio,/ˈreɪdioʊ/
16 Ocio y pasatiempos,guitar,guitarra,/ɡɪˈtɑːr/
16 Ocio y pasatiempos,book,libro,/bʊk/
17 Descripciones y adjetivos,good,bueno,/ɡʊd/
17 Descripciones y adjetivos,bad,malo,/bæd/
17 Descripciones y adjetivos,big,grande,/bɪɡ/
17 Descripciones y adjetivos,little,pequeño,/ˈlɪtəl/
17 Descripciones y adjetivos,tall,alto,/tɔːl/
17 Descripciones y adjetivos,short,bajo; corto,/ʃɔːrt/
17 Descripciones y adjetivos,happy,feliz,/ˈhæpi/
17 Descripciones y adjetivos,sad,triste,/sæd/
17 Descripciones y adjetivos,angry,enojado,/ˈæŋɡri/
17 Descripciones y adjetivos,friendly,amigable,/ˈfrendli/
17 Descripciones y adjetivos,kind,amable,/kaɪnd/
17 Descripciones y adjetivos,funny,divertido,/ˈfʌni/
17 Descripciones y adjetivos,beautiful,hermoso,/ˈbjuːtəfəl/
17 Descripciones y adjetivos,nice,agradable,/naɪs/
17 Descripciones y adjetivos,strong,fuerte,/strɔːŋ/
17 Descripciones y adjetivos,weak,débil,/wiːk/
17 Descripciones y adjetivos,rich,rico,/rɪtʃ/
17 Descripciones y adjetivos,poor,pobre,/pʊr/
17 Descripciones y adjetivos,full,lleno,/fʊl/
17 Descripciones y adjetivos,empty,vacío,/ˈempti/
17 Descripciones y adjetivos,same,mismo,/seɪm/
17 Descripciones y adjetivos,different,diferente,/ˈdɪfrənt/
17 Descripciones y adjetivos,ready,listo,/ˈredi/
17 Descripciones y adjetivos,sure,seguro,/ʃʊr/
17 Descripciones y adjetivos,right,correcto,/raɪt/
17 Descripciones y adjetivos,wrong,incorrecto,/rɔːŋ/
17 Descripciones y adjetivos,true,verdadero,/truː/
17 Descripciones y adjetivos,young,joven,/jʌŋ/
17 Descripciones y adjetivos,old,viejo,/oʊld/
17 Descripciones y adjetivos,new,nuevo,/nuː/
17 Descripciones y adjetivos,clean,limpio,/kliːn/
17 Descripciones y adjetivos,quiet,tranquilo,/ˈkwaɪət/
18 Verbos esenciales,be,ser; estar,/biː/
18 Verbos esenciales,have,tener,/hæv/
18 Verbos esenciales,can,poder,/kæn/
18 Verbos esenciales,get,obtener,/ɡet/
18 Verbos esenciales,give,dar,/ɡɪv/
18 Verbos esenciales,take,tomar; llevar,/teɪk/
18 Verbos esenciales,put,poner,/pʊt/
18 Verbos esenciales,see,ver,/siː/
18 Verbos esenciales,look,mirar,/lʊk/
18 Verbos esenciales,hear,oír,/hɪr/
18 Verbos esenciales,say,decir,/seɪ/
18 Verbos esenciales,tell,decir; contar,/tel/
18 Verbos esenciales,think,pensar,/θɪŋk/
18 Verbos esenciales,find,encontrar,/faɪnd/
18 Verbos esenciales,feel,sentir,/fiːl/
18 Verbos esenciales,try,intentar,/traɪ/
18 Verbos esenciales,keep,mantener,/kiːp/
18 Verbos esenciales,bring,traer,/brɪŋ/
18 Verbos esenciales,show,mostrar,/ʃoʊ/
18 Verbos esenciales,sit,sentarse,/sɪt/
18 Verbos esenciales,stand,estar de pie,/stænd/
18 Verbos esenciales,wait,esperar,/weɪt/
18 Verbos esenciales,begin,comenzar,/bɪˈɡɪn/
18 Verbos esenciales,end,terminar,/end/
18 Verbos esenciales,stop,parar,/stɑːp/
18 Verbos esenciales,turn,girar,/tɜːrn/
18 Verbos esenciales,meet,conocer; reunirse,/miːt/
18 Verbos esenciales,remember,recordar,/rɪˈmembər/
18 Verbos esenciales,forget,olvidar,/fərˈɡet/
18 Verbos esenciales,choose,elegir,/tʃuːz/
18 Verbos esenciales,open,abrir,/ˈoʊpən/
18 Verbos esenciales,close,cerrar,/kloʊz/
19 Tecnología y comunicación,mobile phone,teléfono móvil,/ˈmoʊbəl foʊn/
19 Tecnología y comunicación,cell phone,celular,/ˈsel foʊn/
19 Tecnología y comunicación,computer,computadora,/kəmˈpjuːtər/
19 Tecnología y comunicación,screen,pantalla,/skriːn/
19 Tecnología y comunicación,keyboard,teclado,/ˈkiːbɔːrd/
19 Tecnología y comunicación,message,mensaje,/ˈmesɪdʒ/
19 Tecnología y comunicación,text,mensaje de texto,/tekst/
19 Tecnología y comunicación,email,correo electrónico,/ˈiːmeɪl/
19 Tecnología y comunicación,internet,internet,/ˈɪntərnet/
19 Tecnología y comunicación,website,sitio web,/ˈwebsaɪt/
19 Tecnología y comunicación,online,en línea,/ˌɑːnˈlaɪn/
19 Tecnología y comunicación,password,contraseña,/ˈpæswɜːrd/
19 Tecnología y comunicación,photo,foto,/ˈfoʊtoʊ/
19 Tecnología y comunicación,video,video,/ˈvɪdioʊ/
19 Tecnología y comunicación,call,llamada,/kɔːl/
19 Tecnología y comunicación,number,número,/ˈnʌmbər/
19 Tecnología y comunicación,click,hacer clic,/klɪk/
19 Tecnología y comunicación,type,escribir a máquina,/taɪp/
19 Tecnología y comunicación,download,descargar,/ˌdaʊnˈloʊd/
19 Tecnología y comunicación,send,enviar,/send/
19 Tecnología y comunicación,receive,recibir,/rɪˈsiːv/
19 Tecnología y comunicación,talk,hablar,/tɔːk/
19 Tecnología y comunicación,chat,chatear,/tʃæt/
19 Tecnología y comunicación,information,información,/ˌɪnfərˈmeɪʃən/
19 Tecnología y comunicación,address,dirección,/əˈdres/
19 Tecnología y comunicación,app,aplicación,/æp/
19 Tecnología y comunicación,button,botón,/ˈbʌtən/
19 Tecnología y comunicación,file,archivo,/faɪl/
19 Tecnología y comunicación,save,guardar,/seɪv/
19 Tecnología y comunicación,delete,eliminar,/dɪˈliːt/
19 Tecnología y comunicación,search,buscar,/sɜːrtʃ/
19 Tecnología y comunicación,link,enlace,/lɪŋk/
20 Naturaleza y animales,animal,animal,/ˈænɪməl/
20 Naturaleza y animales,bird,pájaro,/bɜːrd/
20 Naturaleza y animales,horse,caballo,/hɔːrs/
20 Naturaleza y animales,cow,vaca,/kaʊ/
20 Naturaleza y animales,sheep,oveja,/ʃiːp/
20 Naturaleza y animales,pig,cerdo,/pɪɡ/
20 Naturaleza y animales,tree,árbol,/triː/
20 Naturaleza y animales,flower,flor,/ˈflaʊər/
20 Naturaleza y animales,grass,césped,/ɡræs/
20 Naturaleza y animales,forest,bosque,/ˈfɔːrɪst/
20 Naturaleza y animales,river,río,/ˈrɪvər/
20 Naturaleza y animales,sea,mar,/siː/
20 Naturaleza y animales,beach,playa,/biːtʃ/
20 Naturaleza y animales,mountain,montaña,/ˈmaʊntən/
20 Naturaleza y animales,lake,lago,/leɪk/
20 Naturaleza y animales,world,mundo,/wɜːrld/
20 Naturaleza y animales,earth,tierra,/ɜːrθ/
20 Naturaleza y animales,country,campo; país,/ˈkʌntri/
20 Naturaleza y animales,farm,granja,/fɑːrm/
20 Naturaleza y animales,plant,planta,/plænt/
20 Naturaleza y animales,green,verde,/ɡriːn/
20 Naturaleza y animales,water,agua,/ˈwɔːtər/
20 Naturaleza y animales,air,aire,/er/
20 Naturaleza y animales,fire,fuego,/faɪər/
20 Naturaleza y animales,land,tierra,/lænd/
20 Naturaleza y animales,island,isla,/ˈaɪlənd/
20 Naturaleza y animales,nature,naturaleza,/ˈneɪtʃər/
20 Naturaleza y animales,wild,salvaje,/waɪld/
20 Naturaleza y animales,fish,pez,/fɪʃ/
20 Naturaleza y animales,insect,insecto,/ˈɪnsekt/
20 Naturaleza y animales,sky,cielo,/skaɪ/
20 Naturaleza y animales,moon,luna,/muːn/
21 Preposiciones y posición,in,en; dentro de,/ɪn/
21 Preposiciones y posición,on,en; sobre,/ɑːn/
21 Preposiciones y posición,at,en,/æt/
21 Preposiciones y posición,under,debajo de,/ˈʌndər/
21 Preposiciones y posición,over,sobre,/ˈoʊvər/
21 Preposiciones y posición,above,encima de,/əˈbʌv/
21 Preposiciones y posición,below,debajo de,/bɪˈloʊ/
21 Preposiciones y posición,behind,detrás de,/bɪˈhaɪnd/
21 Preposiciones y posición,in front of,delante de,/ɪn frʌnt əv/
21 Preposiciones y posición,next to,al lado de,/nekst tuː/
21 Preposiciones y posición,between,entre,/bɪˈtwiːn/
21 Preposiciones y posición,near,cerca de,/nɪr/
21 Preposiciones y posición,with,con,/wɪð/
21 Preposiciones y posición,without,sin,/wɪˈðaʊt/
21 Preposiciones y posición,for,para,/fɔːr/
21 Preposiciones y posición,to,a; hacia,/tuː/
21 Preposiciones y posición,from,de; desde,/frəm/
21 Preposiciones y posición,into,dentro de,/ˈɪntuː/
21 Preposiciones y posición,out of,fuera de,/aʊt əv/
21 Preposiciones y posición,around,alrededor de,/əˈraʊnd/
21 Preposiciones y posición,across,a través de,/əˈkrɔːs/
21 Preposiciones y posición,through,a través de,/θruː/
21 Preposiciones y posición,up,arriba,/ʌp/
21 Preposiciones y posición,down,abajo,/daʊn/
21 Preposiciones y posición,before,antes de,/bɪˈfɔːr/
21 Preposiciones y posición,after,después de,/ˈæftər/
21 Preposiciones y posición,during,durante,/ˈdʊrɪŋ/
21 Preposiciones y posición,inside,dentro,/ˌɪnˈsaɪd/
21 Preposiciones y posición,outside,fuera,/ˌaʊtˈsaɪd/
21 Preposiciones y posición,here,aquí,/hɪr/
21 Preposiciones y posición,there,allí,/ðer/
21 Preposiciones y posición,away,lejos,/əˈweɪ/
22 Preguntas y palabras funcionales,who,quién,/huː/
22 Preguntas y palabras funcionales,what,qué,/wʌt/
22 Preguntas y palabras funcionales,where,dónde,/wer/
22 Preguntas y palabras funcionales,when,cuándo,/wen/
22 Preguntas y palabras funcionales,why,por qué,/waɪ/
22 Preguntas y palabras funcionales,how,cómo,/haʊ/
22 Preguntas y palabras funcionales,which,cuál,/wɪtʃ/
22 Preguntas y palabras funcionales,whose,de quién,/huːz/
22 Preguntas y palabras funcionales,this,esto; este,/ðɪs/
22 Preguntas y palabras funcionales,that,eso; ese,/ðæt/
22 Preguntas y palabras funcionales,these,estos,/ðiːz/
22 Preguntas y palabras funcionales,those,esos,/ðoʊz/
22 Preguntas y palabras funcionales,I,yo,/aɪ/
22 Preguntas y palabras funcionales,you,tú; usted,/juː/
22 Preguntas y palabras funcionales,he,él,/hiː/
22 Preguntas y palabras funcionales,she,ella,/ʃiː/
22 Preguntas y palabras funcionales,it,eso,/ɪt/
22 Preguntas y palabras funcionales,we,nosotros,/wiː/
22 Preguntas y palabras funcionales,they,ellos,/ðeɪ/
22 Preguntas y palabras funcionales,my,mi,/maɪ/
22 Preguntas y palabras funcionales,your,tu; su,/jʊr/
22 Preguntas y palabras funcionales,his,su de él,/hɪz/
22 Preguntas y palabras funcionales,her,su de ella,/hɜːr/
22 Preguntas y palabras funcionales,our,nuestro,/ˈaʊər/
22 Preguntas y palabras funcionales,their,su de ellos,/ðer/
22 Preguntas y palabras funcionales,and,y,/ænd/
22 Preguntas y palabras funcionales,but,pero,/bʌt/
22 Preguntas y palabras funcionales,or,o,/ɔːr/
22 Preguntas y palabras funcionales,because,porque,/bɪˈkɔːz/
22 Preguntas y palabras funcionales,if,si,/ɪf/
22 Preguntas y palabras funcionales,very,muy,/ˈveri/
22 Preguntas y palabras funcionales,also,también,/ˈɔːlsoʊ/
23 Restaurante y servicios,restaurant,restaurante,/ˈrestərɑːnt/
23 Restaurante y servicios,table,mesa,/ˈteɪbəl/
23 Restaurante y servicios,menu,menú,/ˈmenjuː/
23 Restaurante y servicios,order,pedir,/ˈɔːrdər/
23 Restaurante y servicios,bill,cuenta,/bɪl/
23 Restaurante y servicios,check,cuenta,/tʃek/
23 Restaurante y servicios,waiter,mesero,/ˈweɪtər/
23 Restaurante y servicios,waitress,mesera,/ˈweɪtrəs/
23 Restaurante y servicios,plate,plato,/pleɪt/
23 Restaurante y servicios,cup,taza,/kʌp/
23 Restaurante y servicios,glass,vaso,/ɡlæs/
23 Restaurante y servicios,fork,tenedor,/fɔːrk/
23 Restaurante y servicios,knife,cuchillo,/naɪf/
23 Restaurante y servicios,spoon,cuchara,/spuːn/
23 Restaurante y servicios,breakfast,desayuno,/ˈbrekfəst/
23 Restaurante y servicios,lunch,almuerzo,/lʌntʃ/
23 Restaurante y servicios,dinner,cena,/ˈdɪnər/
23 Restaurante y servicios,meal,comida,/miːl/
23 Restaurante y servicios,starter,entrada,/ˈstɑːrtər/
23 Restaurante y servicios,main course,plato principal,/ˌmeɪn ˈkɔːrs/
23 Restaurante y servicios,dessert,postre,/dɪˈzɜːrt/
23 Restaurante y servicios,salt,sal,/sɔːlt/
23 Restaurante y servicios,sugar,azúcar,/ˈʃʊɡər/
23 Restaurante y servicios,pepper,pimienta,/ˈpepər/
23 Restaurante y servicios,tip,propina,/tɪp/
23 Restaurante y servicios,service,servicio,/ˈsɜːrvɪs/
23 Restaurante y servicios,reservation,reserva,/ˌrezərˈveɪʃən/
23 Restaurante y servicios,ready,listo,/ˈredi/
23 Restaurante y servicios,more,más,/mɔːr/
23 Restaurante y servicios,another,otro,/əˈnʌðər/
23 Restaurante y servicios,please,por favor,/pliːz/
23 Restaurante y servicios,thank you,gracias,/ˈθæŋk juː/
24 Sentimientos y estados,happy,feliz,/ˈhæpi/
24 Sentimientos y estados,sad,triste,/sæd/
24 Sentimientos y estados,tired,cansado,/ˈtaɪərd/
24 Sentimientos y estados,hungry,hambriento,/ˈhʌŋɡri/
24 Sentimientos y estados,thirsty,sediento,/ˈθɜːrsti/
24 Sentimientos y estados,afraid,asustado,/əˈfreɪd/
24 Sentimientos y estados,scared,asustado,/skerd/
24 Sentimientos y estados,angry,enojado,/ˈæŋɡri/
24 Sentimientos y estados,worried,preocupado,/ˈwɜːrid/
24 Sentimientos y estados,excited,emocionado,/ɪkˈsaɪtɪd/
24 Sentimientos y estados,surprised,sorprendido,/sərˈpraɪzd/
24 Sentimientos y estados,bored,aburrido,/bɔːrd/
24 Sentimientos y estados,fine,bien,/faɪn/
24 Sentimientos y estados,okay,bien,/oʊˈkeɪ/
24 Sentimientos y estados,well,bien,/wel/
24 Sentimientos y estados,sick,enfermo,/sɪk/
24 Sentimientos y estados,busy,ocupado,/ˈbɪzi/
24 Sentimientos y estados,free,libre,/friː/
24 Sentimientos y estados,ready,listo,/ˈredi/
24 Sentimientos y estados,sure,seguro,/ʃʊr/
24 Sentimientos y estados,sorry,apenado; lo siento,/ˈsɑːri/
24 Sentimientos y estados,glad,contento,/ɡlæd/
24 Sentimientos y estados,feel,sentir,/fiːl/
24 Sentimientos y estados,hope,esperar,/hoʊp/
24 Sentimientos y estados,love,amar,/lʌv/
24 Sentimientos y estados,like,gustar,/laɪk/
24 Sentimientos y estados,hate,odiar,/heɪt/
24 Sentimientos y estados,want,querer,/wɑːnt/
24 Sentimientos y estados,need,necesitar,/niːd/
24 Sentimientos y estados,good,bien; bueno,/ɡʊd/
24 Sentimientos y estados,bad,mal; malo,/bæd/
24 Sentimientos y estados,great,genial,/ɡreɪt/
25 Inglés cotidiano,again,otra vez,/əˈɡen/
25 Inglés cotidiano,maybe,quizás,/ˈmeɪbi/
25 Inglés cotidiano,really,realmente,/ˈriːəli/
25 Inglés cotidiano,only,solo,/ˈoʊnli/
25 Inglés cotidiano,too,también; demasiado,/tuː/
25 Inglés cotidiano,very,muy,/ˈveri/
25 Inglés cotidiano,more,más,/mɔːr/
25 Inglés cotidiano,less,menos,/les/
25 Inglés cotidiano,all,todo,/ɔːl/
25 Inglés cotidiano,every,cada,/ˈevri/
25 Inglés cotidiano,each,cada,/iːtʃ/
25 Inglés cotidiano,other,otro,/ˈʌðər/
25 Inglés cotidiano,another,otro,/əˈnʌðər/
25 Inglés cotidiano,something,algo,/ˈsʌmθɪŋ/
25 Inglés cotidiano,nothing,nada,/ˈnʌθɪŋ/
25 Inglés cotidiano,someone,alguien,/ˈsʌmwʌn/
25 Inglés cotidiano,everyone,todos,/ˈevriwʌn/
25 Inglés cotidiano,here,aquí,/hɪr/
25 Inglés cotidiano,there,allí,/ðer/
25 Inglés cotidiano,now,ahora,/naʊ/
25 Inglés cotidiano,then,entonces,/ðen/
25 Inglés cotidiano,soon,pronto,/suːn/
25 Inglés cotidiano,already,ya,/ɔːlˈredi/
25 Inglés cotidiano,still,todavía,/stɪl/
25 Inglés cotidiano,about,sobre; aproximadamente,/əˈbaʊt/
25 Inglés cotidiano,with,con,/wɪð/
25 Inglés cotidiano,without,sin,/wɪˈðaʊt/
25 Inglés cotidiano,together,juntos,/təˈɡeðər/
25 Inglés cotidiano,again,de nuevo,/əˈɡen/
25 Inglés cotidiano,of course,por supuesto,/əv ˈkɔːrs/
25 Inglés cotidiano,excuse me,disculpe,/ɪkˈskjuːz miː/
25 Inglés cotidiano,see you,nos vemos,/siː juː/
